city,county_name,lat,lng
Los Altos Hills,Santa Clara,37.3671,-122.1390
August,San Joaquin,37.9797,-121.2625
Spring Valley Lake,San Bernardino,34.4987,-117.2683
Midway City,Orange,33.7451,-117.9849
Larkfield-Wikiup,Sonoma,38.5130,-122.7536
Gonzales,Monterey,36.5060,-121.4429
Orosi,Tulare,36.5434,-119.2903
Firebaugh,Fresno,36.8534,-120.4536
Alondra Park,Los Angeles,33.8885,-118.3350
Montecito,Santa Barbara,34.4382,-119.6286
Mammoth Lakes,Mono,37.6273,-118.9900
Westlake Village,Los Angeles,34.1369,-118.8220
Pismo Beach,San Luis Obispo,35.1484,-120.6492
South San Gabriel,Los Angeles,34.0489,-118.0961
Cherry Valley,Riverside,33.9797,-116.9694
Vandenberg Village,Santa Barbara,34.7111,-120.4623
Rolling Hills Estates,Los Angeles,33.7783,-118.3509
Willits,Mendocino,39.4047,-123.3494
Topanga,Los Angeles,34.0964,-118.6053
Woodlake,Tulare,36.4124,-119.0999
Templeton,San Luis Obispo,35.5560,-120.7182
Winters,Yolo,38.5320,-121.9781
Interlaken,Santa Cruz,36.9505,-121.7363
Guadalupe,Santa Barbara,34.9608,-120.5735
Oroville East,Butte,39.4947,-121.4866
Boyes Hot Springs,Sonoma,38.3126,-122.4888
Sebastopol,Sonoma,38.4001,-122.8276
Holtville,Imperial,32.8130,-115.3780
Piñon Hills,San Bernardino,34.4438,-117.6214
Escalon,San Joaquin,37.7912,-120.9982
Joshua Tree,San Bernardino,34.1236,-116.3128
Plumas Lake,Yuba,38.9924,-121.5580
Hughson,Stanislaus,37.6020,-120.8660
Jackson,Amador,38.3485,-120.7728
Gold River,Sacramento,38.6268,-121.2488
Fairfax,Marin,37.9886,-122.5952
Yreka,Siskiyou,41.7292,-122.6312
Dos Palos,Merced,36.9854,-120.6336
Oceano,San Luis Obispo,35.1019,-120.6090
Mount Shasta,Siskiyou,41.3206,-122.3150
Ojai,Ventura,34.4487,-119.2469
Cotati,Sonoma,38.3279,-122.7092
Camp Pendleton North,San Diego,33.3148,-117.3162
University of California-Davis,Yolo,38.5374,-121.7576
Huron,Fresno,36.2041,-120.0961
Alta Sierra,Nevada,39.1237,-121.0523
Willows,Glenn,39.5149,-122.1995
Acton,Los Angeles,34.4956,-118.1857
Nuevo,Riverside,33.8011,-117.1415
Pollock Pines,El Dorado,38.7564,-120.5904
Atherton,San Mateo,37.4539,-122.2032
Calipatria,Imperial,33.1493,-115.5056
Homeland,Riverside,33.7459,-117.1132
Sausalito,Marin,37.8580,-122.4932
St. Helena,Napa,38.5063,-122.4682
Rancho Calaveras,Calaveras,38.1248,-120.8570
Kentfield,Marin,37.9481,-122.5496
Franklin,Merced,37.3277,-120.5321
Thermalito,Butte,39.4909,-121.6150
Colusa,Colusa,39.2059,-122.0125
Ben Lomond,Santa Cruz,37.0782,-122.0882
Loomis,Placer,38.8093,-121.1955
Lemoore Station,Kings,36.2633,-119.9049
San Martin,Santa Clara,37.0829,-121.5963
Thousand Palms,Riverside,33.8150,-116.3545
Lake Mathews,Riverside,33.8250,-117.3683
Fowler,Fresno,36.6243,-119.6737
Desert Palms,Riverside,33.7790,-116.2930
Bermuda Dunes,Riverside,33.7434,-116.2874
Lucas Valley-Marinwood,Marin,38.0405,-122.5765
Mecca,Riverside,33.5767,-116.0645
Mira Monte,Ventura,34.4284,-119.2853
Ladera Heights,Los Angeles,33.9972,-118.3740
South Monrovia Island,Los Angeles,34.1234,-117.9958
Contra Costa Centre,Contra Costa,37.9261,-122.0540
Keyes,Stanislaus,37.5618,-120.9088
Castroville,Monterey,36.7650,-121.7535
La Habra Heights,Los Angeles,33.9602,-117.9510
Aptos,Santa Cruz,36.9912,-121.8934
